Date,Open,High,Low,Close,Adj Close,Volume
2021-03-18,8.100000,8.160000,7.760000,7.800000,7.737287,434400
2021-03-19,7.760000,8.070000,7.690000,7.920000,7.856322,286100
2021-03-22,7.880000,7.910000,7.660000,7.900000,7.836483,322000
2021-03-23,7.780000,8.010000,7.780000,7.880000,7.816643,366600
2021-03-24,7.870000,7.950000,7.520000,7.650000,7.588493,567000
2021-03-25,7.560000,7.750000,7.410000,7.600000,7.538895,494900
2021-03-26,7.690000,7.770000,7.530000,7.650000,7.588493,442700
2021-03-29,7.580000,7.660000,7.430000,7.590000,7.528975,222200
2021-03-30,7.590000,7.720000,7.550000,7.700000,7.638090,362500
2021-03-31,7.660000,7.850000,7.570000,7.610000,7.548814,313200
2021-04-01,7.650000,7.710000,7.520000,7.590000,7.528975,214800
2021-04-05,7.720000,7.720000,7.520000,7.670000,7.608332,256400
2021-04-06,7.640000,8.000000,7.640000,7.800000,7.737287,474300
2021-04-07,7.840000,7.940000,7.750000,7.770000,7.707528,682800
2021-04-08,7.780000,7.800000,7.660000,7.700000,7.638090,264200
2021-04-09,7.690000,7.710000,7.470000,7.510000,7.449618,433400
2021-04-12,7.730000,7.730000,7.250000,7.320000,7.261146,547600
2021-04-13,7.270000,7.360000,7.160000,7.290000,7.231387,451700
2021-04-14,7.450000,7.520000,7.260000,7.340000,7.280985,574200
2021-04-15,7.340000,7.390000,7.150000,7.200000,7.142110,352900
2021-04-16,7.200000,7.400000,7.100000,7.370000,7.310744,777100
2021-04-19,7.390000,7.690000,7.380000,7.420000,7.360342,463800
2021-04-20,7.370000,7.490000,7.150000,7.190000,7.132191,512500
2021-04-21,7.180000,7.250000,7.060000,7.230000,7.171869,434800
2021-04-22,7.220000,7.340000,7.170000,7.190000,7.132191,247300
2021-04-23,7.190000,7.280000,7.100000,7.200000,7.142110,460400
2021-04-26,7.200000,7.440000,7.200000,7.410000,7.350422,680500
2021-04-27,7.400000,7.810000,7.400000,7.720000,7.657929,910300
2021-04-28,7.720000,8.130000,7.680000,7.790000,7.727367,887800
2021-04-29,7.820000,7.860000,7.600000,7.630000,7.568654,371800
2021-04-30,7.540000,7.560000,7.420000,7.490000,7.429779,322700
2021-05-03,7.540000,7.600000,7.280000,7.320000,7.261146,485100
2021-05-04,7.260000,7.330000,7.110000,7.240000,7.181789,540200
2021-05-05,7.290000,7.400000,7.110000,7.280000,7.221467,345200
2021-05-06,7.330000,7.470000,7.170000,7.460000,7.400020,315800
2021-05-07,7.410000,7.890000,7.410000,7.890000,7.826563,912100
2021-05-10,7.990000,8.250000,7.860000,7.940000,7.876161,1174100
2021-05-11,7.830000,7.900000,7.660000,7.850000,7.786884,837000
2021-05-12,7.760000,7.800000,7.590000,7.690000,7.628171,466400
2021-05-13,7.710000,7.980000,7.690000,7.960000,7.896000,726700
2021-05-14,8.070000,8.530000,8.070000,8.330000,8.330000,1340500
2021-05-17,8.360000,8.580000,8.040000,8.560000,8.560000,1081100
2021-05-18,8.680000,8.700000,8.350000,8.420000,8.420000,873200
